0,300,4
0,600,5
0,899,6
500,1500,9
799,1799,8
1100,2100,7
1699,2699,1
2000,3000,2
2300,3300,3
2900,3900,6
3200,4200,5
3500,4500,4
4100,5100,1
4399,5399,5
4700,5700,3
5300,6300,9
5600,6600,5
5899,6899,7
6500,7500,2
6500,7500,3
6949,7949,5
7400,8400,7
7400,8400,8
7850,8850,5
8299,9299,1
8600,9600,2
8900,9900,6
9200,10200,5
9500,10500,4
10100,11100,7
10400,11400,8
10700,11700,9
11299,12299,3
11600,12600,2
11899,12899,1
12500,13500,4
12799,13799,5
13100,14100,6
13700,14700,9
14000,15000,5
14299,15299,4
14899,15899,1
15200,16200,5
15500,16500,6
16099,17099,2
16099,17099,3
16550,17550,5
17000,18000,8
17000,18000,7
17450,18450,5
17900,18900,1
18200,19200,2
18500,19500,6
19099,20099,5
19700,20700,4
20900,21900,9
25700,26700,9
26000,27000,6
26299,27299,2
27799,28799,5
28700,29700,2
29299,30299,6
29900,30900,8
30200,31200,4
30500,31500,2
32299,33299,4
32600,33600,5
32900,33900,6
35300,36300,7
35300,36300,8
35900,36900,4
35900,36900,5
36500,37500,1
36500,37500,2
37100,38100,4
37100,38100,5
37699,38699,7
38000,39000,8
38300,39300,6
38750,39750,4
39050,40050,4
39350,40350,4
39800,40800,5
40100,41100,7
40400,41400,8
40699,41699,6
41150,42150,4
41449,42449,4
41750,42750,4
42199,43199,5
42500,43500,1
42800,43800,2
43100,44100,6
43550,44550,8
43850,44850,8
44150,45150,8
44600,45600,4
44900,45900,6
45199,46199,2
45500,46500,4
45949,46949,5
46250,47250,5
46550,47550,5
47000,48000,1
47300,48300,2
47599,48599,3
47900,48900,6
48199,49199,5
48500,49500,7
48800,49800,8
49099,50099,9
49400,50400,6
49699,50699,2
50000,51000,1
50300,51300,5
50599,51599,6
50900,51900,8
51199,52199,7
51500,52500,4
51800,52800,5
52099,53099,3
52699,53699,6
53300,54300,9
53900,54900,5
54500,55500,1
54800,55800,2
55099,56099,3
55400,56400,6
55699,56699,4
56000,57000,7
56300,57300,9
56599,57599,3
56900,57900,2
66200,67200,4
66500,67500,5
66500,67500,6
67700,68700,3
68000,69000,2
68300,69300,1
68899,69899,7
69200,70200,8
69500,70500,9
70100,71100,1
70399,71399,5
70700,71700,3
71300,72300,9
71600,72600,5
71899,72899,7
72500,73500,1
72800,73800,2
73100,74100,6
73700,74700,9
74000,75000,8
74300,75300,4
74899,75899,5
74899,75899,6
75350,76350,2
75350,76350,3
75800,76800,5
75800,76800,6
76250,77250,8
76250,77250,9
76700,77700,4
77000,78000,5
77300,78300,3
77600,78600,2
77899,78899,1
78500,79500,7
78800,79800,8
79100,80100,9
79700,80700,9
80000,81000,5
80300,81300,3
80899,81899,1
81200,82200,5
81500,82500,7
82100,83100,4
82399,83399,8
82700,83700,6
83300,84300,1
83600,84600,5
83899,84899,3
84500,85500,1
84500,85500,2
84950,85950,4
84950,85950,5
85399,86399,2
85399,86399,3
85850,86850,5
85850,86850,6
86300,87300,7
86600,87600,8
86899,87899,1
86899,87899,2
87350,88350,5
87350,88350,4
87800,88800,2
87800,88800,3
88250,89250,6
88250,89250,5
88700,89700,9
89000,90000,8
89300,90300,4
89300,90300,5
89750,90750,1
89750,90750,2
90200,91200,4
90200,91200,5
90649,91649,1
90649,91649,2
91100,92100,7
91399,92399,8
91700,92700,2
91700,92700,3
92149,93149,5
92149,93149,6
92600,93600,2
92600,93600,3
93050,94050,5
93050,94050,6
93500,94500,2
93500,94500,3
93950,94950,6
93950,94950,5
94399,95399,8
94399,95399,9
94850,95850,4
20300,21300,8
21500,22500,6
22099,23099,2
22700,23700,4
23299,24299,5
23900,24900,6
24500,25500,8
25099,26099,4
26900,27900,7
27200,28200,4
27500,28500,2
28099,29099,6
31100,32100,3
31699,32699,6

